project,name,facility,owner,address,city,county,cost,sqft_stated,work,status,registered,start,end,scope,design_firm,url,sqft,sqft_source,primary,duplicate_of,cost_per_sqft,cost_suspect,area_is_campus,found_by,geo_precision,lon,lat
TABS2026017750,Project Seafox,Seafox Addition (in process SUSU25-00066),Wurldwide LLC,7001 Stan Roberts Sr,El Paso,El Paso,289000000.0,25943100,New Construction,Review Complete,2026-04-15,2025-11-01,2029-02-28,"Addition of New construction hyperscale datacenter facility/campus.  This site includes 12 new buildings, 5 Owner Substations, and Site work on approximately 600 Acres (25,943,100 SQ FT).",Stantec (Engineer of Record),https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017750,25943100,,True,,11,False,True,scope of work,address,-106.349034,31.986867
TABS2025001810,CyrusOne DFW7 | Shell and Upfit,DFW7,"C1 Fort Worth, LLC",Asphalt Dr,Fort Worth,Tarrant,200000000.0,1904000,New Construction,Review Complete,2024-09-25,2024-10-22,2026-02-22,"New Construction, single-story Data Center with two-story office component.  Total SF expected to be approximately 190,400. Exterior construction to be insulated precast with steel structure.",JHET Architects,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025001810,1904000,,True,,105,False,False,scope of work,address,-97.434737,32.69068
TABS2020019742,"Compass Datacenters DFW I-II, LLC",DFW I-II,Compass Datacenters,820 Allen Commerce Parkway,Allen,Collin,1000000.0,1503933,New Construction,Project Closed,2020-06-29,2020-08-01,2021-08-02,Datacenter,KFM Engineering and Design,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2020019742,1503933,,True,,1,False,False,project name; scope of work,address,-96.65741,33.138672
TABS2026025297,Rise 2A,Rise,Platon Investments LLC,FM 2897 S,Vernon,Wilbarger,500000000.0,991000,New Construction,Project Registered,2026-07-15,2026-03-31,2028-03-31,"New data center with associated mechanical and electrical yards, fire lanes, security entrance, and utilities.",Kimberly - Horn,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026025297,991000,,True,,505,False,False,scope of work,address,-99.377737,34.17223
TABS2026025053,Project Rise 1A,Project Rise 1A,Planton Investments LLC,FM 2897 S,Vernon,Wilbarger,500000000.0,991000,New Construction,Project Registered,2026-07-11,2026-03-31,2028-03-31,"New data center with associated mechanical and electrical yards, fire lanes, security entrance, and utilties.",Kimberly - Horn,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026025053,991000,,True,,505,False,False,scope of work,address,-99.377737,34.17223
TABS2020019741,"Compass Datacenters DFW III-I, LLC",DFW III-I,Compass Datacenters,300 Houston School Road,Red Oak,Ellis,5000000.0,980849,New Construction,Project Closed,2020-06-29,2019-11-14,2020-06-10,Datacenter,KFM Engineering and Design,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2020019741,980849,,True,,5,False,False,project name; scope of work,address,-96.804292,32.53873
TABS2026019322,Edged Energy-Austin,Edged Energy,Capital Land Investments I LP,11255 Hwy 142,Maxwell,Caldwell,2800000000.0,869684,New Construction,Review Complete,2026-05-04,2026-06-01,2028-06-30,"Ground up 869,684sf, 1-level, warehouse building with 35'-3"" max parapet height housing a data center. The project includes storage and business occupancies with data halls and an administrative area.",MG2 Architecture Corporation,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019322,869684,,True,,3220,False,False,scope of work,address,-97.810363,29.868061
TABS2026010861,Project Llano,Building 6,"GN DC1, LLC",10001 Lima Road,Claude,Armstrong,500000000.0,805380,New Construction,Review Complete,2026-01-26,2026-05-15,2027-07-30,"Single story Data Center approximately 805,380 sf, constructed of structural steel columns, beams and framing, insulated metal panels, and glazed curtain wall. It will include office space, multiple data halls and associated support spaces.","HKS, Inc.",https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010861,805380,,True,,621,False,False,scope of work,address,-101.458242,35.015923
TABS2026010858,Project Llano,Building 5,"GN DC1, LLC",10001 Lima Road,Claude,Armstrong,500000000.0,805380,New Construction,Review Complete,2026-01-26,2026-04-15,2027-05-28,"Single story Data Center approximately 805,380 sf, constructed of structural steel columns, beams and framing, insulated metal panels, and glazed curtain wall. It will include office space, multiple data halls and associated support spaces.","HKS, Inc.",https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010858,805380,,True,,621,False,False,scope of work,address,-101.458242,35.015923
TABS2026003350,Project Llano,Building 4,"GN DC1, LLC",10001 Lima Road,Claude,Armstrong,500000000.0,805380,New Construction,Review Complete,2025-10-14,2025-12-17,2027-02-26,"Single story Data Center approximately 805,380 sf, constructed of structural steel columns, beams and framing, insulated metal panels, and glazed curtain wall. It will include office space, multiple data halls and associated support spaces.","HKS, Inc.",https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026003350,805380,,True,,621,False,False,scope of work,address,-101.458242,35.015923
